,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2736,Michigan 1,0.65,0.327,22,2008,MICHIGAN,11.55,MI
2737,Michigan 2,0.624,0.348,26,2008,MICHIGAN,13.65,MI
2738,Michigan 3,0.611,0.354,28,2008,MICHIGAN,14.70,MI
2739,Michigan 4,0.619,0.357,27,2008,MICHIGAN,14.17,MI
2740,Michigan 5,0.704,0.27,17,2008,MICHIGAN,8.92,MI
2741,Michigan 6,0.589,0.386,35,2008,MICHIGAN,18.37,MI
2742,Michigan 7,0.488,0.465,305,2008,MICHIGAN,160.12,MI
2743,Michigan 8,0.565,0.402,43,2008,MICHIGAN,22.57,MI
2744,Michigan 9,0.521,0.426,74,2008,MICHIGAN,38.85,MI
2745,Michigan 10,0.663,0.312,20,2008,MICHIGAN,10.50,MI
2746,Michigan 11,0.514,0.454,117,2008,MICHIGAN,61.42,MI
2747,Michigan 12,0.721,0.239,15,2008,MICHIGAN,7.87,MI
2748,Michigan 13,0.741,0.191,13,2008,MICHIGAN,6.82,MI
2749,Michigan 14,0.924,0.044,8,2008,MICHIGAN,4.20,MI
2750,Michigan 15,0.707,0.25,16,2008,MICHIGAN,8.40,MI
