,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
4154,Maine 1,0.598,0.365,31,2000,MAINE,16.27,ME
4155,Maine 2,0.734,0.266,15,2000,MAINE,7.87,ME
