,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3999,California 1,0.651,0.28,19,2000,CALIFORNIA,9.97,CA
4000,California 2,0.658,0.282,19,2000,CALIFORNIA,9.97,CA
4001,California 3,0.562,0.405,45,2000,CALIFORNIA,23.62,CA
4002,California 4,0.635,0.315,22,2000,CALIFORNIA,11.55,CA
4003,California 5,0.687,0.262,17,2000,CALIFORNIA,8.92,CA
4004,California 6,0.644,0.284,20,2000,CALIFORNIA,10.50,CA
4005,California 7,0.765,0.212,13,2000,CALIFORNIA,6.82,CA
4006,California 8,0.845,0.117,10,2000,CALIFORNIA,5.25,CA
4007,California 9,0.85,0.098,10,2000,CALIFORNIA,5.25,CA
4008,California 10,0.527,0.442,83,2000,CALIFORNIA,43.57,CA
4009,California 11,0.579,0.381,36,2000,CALIFORNIA,18.90,CA
4010,California 12,0.746,0.208,14,2000,CALIFORNIA,7.35,CA
4011,California 13,0.705,0.243,16,2000,CALIFORNIA,8.40,CA
4012,California 14,0.703,0.258,16,2000,CALIFORNIA,8.40,CA
4013,California 15,0.543,0.422,58,2000,CALIFORNIA,30.45,CA
4014,California 16,0.721,0.233,15,2000,CALIFORNIA,7.87,CA
4015,California 17,0.687,0.247,16,2000,CALIFORNIA,8.40,CA
4016,California 18,0.672,0.313,20,2000,CALIFORNIA,10.50,CA
4017,California 19,0.65,0.318,22,2000,CALIFORNIA,11.55,CA
4018,California 20,0.524,0.455,102,2000,CALIFORNIA,53.55,CA
4019,California 21,0.716,0.248,15,2000,CALIFORNIA,7.87,CA
4020,California 22,0.532,0.444,80,2000,CALIFORNIA,42.00,CA
4021,California 23,0.541,0.407,53,2000,CALIFORNIA,27.82,CA
4022,California 24,0.661,0.298,20,2000,CALIFORNIA,10.50,CA
4023,California 25,0.623,0.332,25,2000,CALIFORNIA,13.12,CA
4024,California 26,0.841,0.114,10,2000,CALIFORNIA,5.25,CA
4025,California 27,0.527,0.439,80,2000,CALIFORNIA,42.00,CA
4026,California 28,0.569,0.399,42,2000,CALIFORNIA,22.05,CA
4027,California 29,0.757,0.193,13,2000,CALIFORNIA,6.82,CA
4028,California 30,0.833,0.118,10,2000,CALIFORNIA,5.25,CA
4029,California 31,0.794,0.091,10,2000,CALIFORNIA,5.25,CA
4030,California 32,0.836,0.122,10,2000,CALIFORNIA,5.25,CA
4031,California 33,0.846,0.116,10,2000,CALIFORNIA,5.25,CA
4032,California 34,0.713,0.225,15,2000,CALIFORNIA,7.87,CA
4033,California 35,0.866,0.109,10,2000,CALIFORNIA,5.25,CA
4034,California 36,0.484,0.466,389,2000,CALIFORNIA,204.22,CA
4035,California 37,0.824,0.113,10,2000,CALIFORNIA,5.25,CA
4036,California 38,0.485,0.475,700,2000,CALIFORNIA,367.50,CA
4037,California 39,0.628,0.315,23,2000,CALIFORNIA,12.07,CA
4038,California 40,0.8,0.1,10,2000,CALIFORNIA,5.25,CA
4039,California 41,0.59,0.374,33,2000,CALIFORNIA,17.32,CA
4040,California 42,0.598,0.352,29,2000,CALIFORNIA,15.22,CA
4041,California 43,0.737,0.156,13,2000,CALIFORNIA,6.82,CA
4042,California 44,0.592,0.38,34,2000,CALIFORNIA,17.85,CA
4043,California 45,0.622,0.324,24,2000,CALIFORNIA,12.60,CA
4044,California 46,0.603,0.35,28,2000,CALIFORNIA,14.70,CA
4045,California 47,0.657,0.301,20,2000,CALIFORNIA,10.50,CA
4046,California 48,0.615,0.284,22,2000,CALIFORNIA,11.55,CA
4047,California 49,0.497,0.462,201,2000,CALIFORNIA,105.52,CA
4048,California 50,0.683,0.277,18,2000,CALIFORNIA,9.45,CA
4049,California 51,0.644,0.304,21,2000,CALIFORNIA,11.02,CA
4050,California 52,0.648,0.313,21,2000,CALIFORNIA,11.02,CA
