,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3949,Utah 1,0.6069,0.3684,30,2002,UTAH,15.75,UT
3950,Utah 2,0.4943,0.4869,946,2002,UTAH,496.65,UT
3951,Utah 3,0.6743,0.2898,19,2002,UTAH,9.97,UT
