,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3748,Illinois 1,0.812,0.162,11,2002,ILLINOIS,5.77,IL
3749,Illinois 2,0.823,0.177,11,2002,ILLINOIS,5.77,IL
3750,Illinois 3,Uncontested,0.0,0,2002,ILLINOIS,0.00,IL
3751,Illinois 4,0.797,0.151,11,2002,ILLINOIS,5.77,IL
3752,Illinois 5,0.668,0.289,19,2002,ILLINOIS,9.97,IL
3753,Illinois 6,0.651,0.349,24,2002,ILLINOIS,12.60,IL
3754,Illinois 7,0.832,0.153,11,2002,ILLINOIS,5.77,IL
3755,Illinois 8,0.574,0.426,48,2002,ILLINOIS,25.20,IL
3756,Illinois 9,0.703,0.268,17,2002,ILLINOIS,8.92,IL
3757,Illinois 10,0.688,0.312,19,2002,ILLINOIS,9.97,IL
3758,Illinois 11,0.643,0.357,25,2002,ILLINOIS,13.12,IL
3759,Illinois 12,0.693,0.308,19,2002,ILLINOIS,9.97,IL
3760,Illinois 13,0.703,0.297,18,2002,ILLINOIS,9.45,IL
3761,Illinois 14,0.741,0.259,15,2002,ILLINOIS,7.87,IL
3762,Illinois 15,0.652,0.31,21,2002,ILLINOIS,11.02,IL
3763,Illinois 16,0.706,0.294,17,2002,ILLINOIS,8.92,IL
3764,Illinois 17,0.624,0.376,29,2002,ILLINOIS,15.22,IL
3765,Illinois 18,Uncontested,0.0,0,2002,ILLINOIS,0.00,IL
3766,Illinois 19,0.548,0.452,73,2002,ILLINOIS,38.32,IL
