,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3908,Tennessee 1,Uncontested,0.0,0,2002,TENNESSEE,0.00,TN
3909,Tennessee 2,0.7898,0.1991,12,2002,TENNESSEE,6.30,TN
3910,Tennessee 3,0.6454,0.3382,23,2002,TENNESSEE,12.07,TN
3911,Tennessee 4,0.5208,0.4649,126,2002,TENNESSEE,66.15,TN
3912,Tennessee 5,0.6373,0.3325,23,2002,TENNESSEE,12.07,TN
3913,Tennessee 6,0.6592,0.3233,21,2002,TENNESSEE,11.02,TN
3914,Tennessee 7,0.7073,0.2648,16,2002,TENNESSEE,8.40,TN
3915,Tennessee 8,0.7014,0.273,17,2002,TENNESSEE,8.92,TN
3916,Tennessee 9,0.8381,0.1609,11,2002,TENNESSEE,5.77,TN
