,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
87,Florida 1,0.679,0.321,20,2022,FLORIDA,10.50,FL
88,Florida 2,0.598,0.402,36,2022,FLORIDA,18.90,FL
89,Florida 3,0.625,0.363,27,2022,FLORIDA,14.17,FL
90,Florida 4,0.605,0.395,34,2022,FLORIDA,17.85,FL
91,Florida 5,1.0,0.0,7,2022,FLORIDA,3.67,FL
92,Florida 6,0.753,0.247,14,2022,FLORIDA,7.35,FL
93,Florida 7,0.585,0.415,42,2022,FLORIDA,22.05,FL
94,Florida 8,0.649,0.351,24,2022,FLORIDA,12.60,FL
95,Florida 9,0.536,0.464,98,2022,FLORIDA,51.45,FL
96,Florida 10,0.59,0.394,36,2022,FLORIDA,18.90,FL
97,Florida 11,0.631,0.354,26,2022,FLORIDA,13.65,FL
98,Florida 12,0.704,0.296,18,2022,FLORIDA,9.45,FL
99,Florida 13,0.531,0.451,88,2022,FLORIDA,46.20,FL
100,Florida 14,0.569,0.431,51,2022,FLORIDA,26.77,FL
101,Florida 15,0.585,0.415,42,2022,FLORIDA,22.05,FL
102,Florida 16,0.622,0.378,29,2022,FLORIDA,15.22,FL
103,Florida 17,0.638,0.355,25,2022,FLORIDA,13.12,FL
104,Florida 18,0.747,0.253,15,2022,FLORIDA,7.87,FL
105,Florida 19,0.68,0.32,20,2022,FLORIDA,10.50,FL
106,Florida 20,0.723,0.277,16,2022,FLORIDA,8.40,FL
107,Florida 21,0.635,0.365,26,2022,FLORIDA,13.65,FL
108,Florida 22,0.551,0.449,69,2022,FLORIDA,36.22,FL
109,Florida 23,0.516,0.468,146,2022,FLORIDA,76.65,FL
110,Florida 24,0.718,0.282,17,2022,FLORIDA,8.92,FL
111,Florida 25,0.551,0.449,69,2022,FLORIDA,36.22,FL
112,Florida 26,0.709,0.291,17,2022,FLORIDA,8.92,FL
113,Florida 27,0.573,0.427,48,2022,FLORIDA,25.20,FL
114,Florida 28,0.637,0.363,26,2022,FLORIDA,13.65,FL
