,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
8,Arizona 1,0.504,0.496,875,2022,ARIZONA,459.37,AZ
9,Arizona 2,0.539,0.461,90,2022,ARIZONA,47.25,AZ
10,Arizona 3,0.77,0.23,13,2022,ARIZONA,6.82,AZ
11,Arizona 4,0.561,0.439,58,2022,ARIZONA,30.45,AZ
12,Arizona 5,0.567,0.374,37,2022,ARIZONA,19.42,AZ
13,Arizona 6,0.507,0.493,500,2022,ARIZONA,262.50,AZ
14,Arizona 7,0.645,0.355,25,2022,ARIZONA,13.12,AZ
15,Arizona 8,1.0,0.0,7,2022,ARIZONA,3.67,AZ
16,Arizona 9,1.0,0.0,7,2022,ARIZONA,3.67,AZ
