,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
131,Idaho 1,0.713,0.263,16,2022,IDAHO,8.40,ID
132,Idaho 2,0.636,0.364,26,2022,IDAHO,13.65,ID
