,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
649,Tennessee 1,0.747,0.225,14,2020,TENNESSEE,7.35,TN
650,Tennessee 2,0.676,0.311,20,2020,TENNESSEE,10.50,TN
651,Tennessee 3,0.673,0.305,20,2020,TENNESSEE,10.50,TN
652,Tennessee 4,0.667,0.333,21,2020,TENNESSEE,11.02,TN
653,Tennessee 5,1.0,0.0,7,2020,TENNESSEE,3.67,TN
654,Tennessee 6,0.737,0.24,15,2020,TENNESSEE,7.87,TN
655,Tennessee 7,0.699,0.273,17,2020,TENNESSEE,8.92,TN
656,Tennessee 8,0.685,0.295,18,2020,TENNESSEE,9.45,TN
657,Tennessee 9,0.774,0.201,13,2020,TENNESSEE,6.82,TN
