,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
544,Maine 1,0.622,0.378,29,2020,MAINE,15.22,ME
545,Maine 2,0.53,0.47,117,2020,MAINE,61.42,ME
