,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
386,California 1,0.57,0.43,51,2020,CALIFORNIA,26.77,CA
387,California 2,0.757,0.243,14,2020,CALIFORNIA,7.35,CA
388,California 3,0.547,0.453,75,2020,CALIFORNIA,39.37,CA
389,California 4,0.559,0.441,60,2020,CALIFORNIA,31.50,CA
390,California 5,0.761,0.239,14,2020,CALIFORNIA,7.35,CA
391,California 6,0.733,0.267,16,2020,CALIFORNIA,8.40,CA
392,California 7,0.566,0.434,54,2020,CALIFORNIA,28.35,CA
393,California 8,0.561,0.439,58,2020,CALIFORNIA,30.45,CA
394,California 9,0.576,0.424,47,2020,CALIFORNIA,24.67,CA
395,California 10,0.552,0.448,68,2020,CALIFORNIA,35.70,CA
396,California 11,0.73,0.27,16,2020,CALIFORNIA,8.40,CA
397,California 12,0.776,0.224,13,2020,CALIFORNIA,6.82,CA
398,California 13,0.904,0.096,9,2020,CALIFORNIA,4.72,CA
399,California 14,0.793,0.207,12,2020,CALIFORNIA,6.30,CA
400,California 15,0.709,0.291,17,2020,CALIFORNIA,8.92,CA
401,California 16,0.594,0.406,38,2020,CALIFORNIA,19.95,CA
402,California 17,0.713,0.287,17,2020,CALIFORNIA,8.92,CA
403,California 18,0.632,0.368,27,2020,CALIFORNIA,14.17,CA
404,California 19,0.717,0.283,17,2020,CALIFORNIA,8.92,CA
405,California 20,0.768,0.232,14,2020,CALIFORNIA,7.35,CA
406,California 21,0.505,0.495,700,2020,CALIFORNIA,367.50,CA
407,California 22,0.542,0.458,84,2020,CALIFORNIA,44.10,CA
408,California 23,0.621,0.379,29,2020,CALIFORNIA,15.22,CA
409,California 24,0.587,0.413,41,2020,CALIFORNIA,21.52,CA
410,California 25,0.501,0.499,3500,2020,CALIFORNIA,1837.50,CA
411,California 26,0.606,0.394,34,2020,CALIFORNIA,17.85,CA
412,California 27,0.698,0.302,18,2020,CALIFORNIA,9.45,CA
413,California 28,0.727,0.273,16,2020,CALIFORNIA,8.40,CA
414,California 29,0.566,0.434,54,2020,CALIFORNIA,28.35,CA
415,California 30,0.695,0.305,18,2020,CALIFORNIA,9.45,CA
416,California 31,0.613,0.387,31,2020,CALIFORNIA,16.27,CA
417,California 32,0.666,0.334,22,2020,CALIFORNIA,11.55,CA
418,California 33,0.676,0.324,20,2020,CALIFORNIA,10.50,CA
419,California 34,0.53,0.47,117,2020,CALIFORNIA,61.42,CA
420,California 35,0.693,0.307,19,2020,CALIFORNIA,9.97,CA
421,California 36,0.603,0.397,34,2020,CALIFORNIA,17.85,CA
422,California 37,0.859,0.141,10,2020,CALIFORNIA,5.25,CA
423,California 38,0.743,0.257,15,2020,CALIFORNIA,7.87,CA
424,California 39,0.506,0.494,584,2020,CALIFORNIA,306.60,CA
425,California 40,0.727,0.273,16,2020,CALIFORNIA,8.40,CA
426,California 41,0.64,0.36,25,2020,CALIFORNIA,13.12,CA
427,California 42,0.571,0.429,50,2020,CALIFORNIA,26.25,CA
428,California 43,0.717,0.283,17,2020,CALIFORNIA,8.92,CA
429,California 44,0.678,0.322,20,2020,CALIFORNIA,10.50,CA
430,California 45,0.535,0.465,100,2020,CALIFORNIA,52.50,CA
431,California 46,0.688,0.312,19,2020,CALIFORNIA,9.97,CA
432,California 47,0.633,0.367,27,2020,CALIFORNIA,14.17,CA
433,California 48,0.511,0.489,319,2020,CALIFORNIA,167.47,CA
434,California 49,0.531,0.469,113,2020,CALIFORNIA,59.32,CA
435,California 50,0.54,0.46,88,2020,CALIFORNIA,46.20,CA
436,California 51,0.683,0.317,20,2020,CALIFORNIA,10.50,CA
437,California 52,0.616,0.384,31,2020,CALIFORNIA,16.27,CA
438,California 53,0.595,0.405,37,2020,CALIFORNIA,19.42,CA
