,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,TENNESSEE,TN,0.3288850588479908,22,15.4
1,2002,TENNESSEE,TN,0.099405028640455,71,49.7
2,2006,TENNESSEE,TN,0.0272319006159694,258,180.6
3,2008,TENNESSEE,TN,0.335002072519627,21,14.7
4,2012,TENNESSEE,TN,0.344849852055394,21,14.7
5,2014,TENNESSEE,TN,0.3000141914683803,24,16.8
6,2018,TENNESSEE,TN,0.1078703414834161,65,45.5
7,2020,TENNESSEE,TN,0.2703714928333741,26,18.2
8,2024,TENNESSEE,TN,0.296,24,16.8
