,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,NORTH DAKOTA,ND,0.2274508849234364,31,16.27
1,2004,NORTH DAKOTA,ND,0.3655985271776913,20,10.50
2,2006,NORTH DAKOTA,ND,0.39297829036635,18,9.45
3,2010,NORTH DAKOTA,ND,0.5233803147559677,14,7.35
4,2012,NORTH DAKOTA,ND,0.0091423162195152,766,402.15
5,2016,NORTH DAKOTA,ND,0.5842785860479239,12,6.30
6,2018,NORTH DAKOTA,ND,0.108371302945379,65,34.12
7,2022,NORTH DAKOTA,ND,0.3143,23,12.08
8,2024,NORTH DAKOTA,ND,0.33,22,11.55
