,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,NEW JERSEY,NJ,0.0301658474988245,233,163.1
1,2002,NEW JERSEY,NJ,0.1052312690878176,67,46.9
2,2006,NEW JERSEY,NJ,0.0967547676294515,73,51.1
3,2008,NEW JERSEY,NJ,0.1461625381018222,48,33.6
4,2012,NEW JERSEY,NJ,0.1998872254711697,36,25.2
5,2014,NEW JERSEY,NJ,0.1440411653165091,49,34.3
6,2018,NEW JERSEY,NJ,0.1184835184945618,60,42.0
7,2020,NEW JERSEY,NJ,0.163075280828026,43,30.1
8,2024,NEW JERSEY,NJ,0.09500000000000003,74,51.8
