,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,NEBRASKA,NE,0.0218328879901783,321,224.7
1,2002,NEBRASKA,NE,0.6657927561914717,11,7.7
2,2006,NEBRASKA,NE,0.277655845866058,26,18.2
3,2008,NEBRASKA,NE,0.1746322763974254,41,28.7
4,2012,NEBRASKA,NE,0.1554886554430032,46,32.2
5,2014,NEBRASKA,NE,0.3285153524559672,22,15.4
6,2018,NEBRASKA,NE,0.1543677554039803,46,32.2
7,2020,NEBRASKA,NE,0.3238678640705711,22,15.4
8,2024,NEBRASKA,NE,0.06599999999999989,107,74.9
