,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,VERMONT,VT,0.3879999999999999,19,9.98
1,2004,VERMONT,VT,0.4608408635191792,16,8.40
2,2006,VERMONT,VT,0.3236198598424656,22,11.55
3,2010,VERMONT,VT,0.3341383972990671,21,11.02
4,2012,VERMONT,VT,0.2490008949248878,29,15.22
5,2016,VERMONT,VT,0.2764902470457177,26,13.65
6,2018,VERMONT,VT,0.2738680380304008,26,13.65
7,2022,VERMONT,VT,0.4044,18,9.45
8,2024,VERMONT,VT,0.311,23,12.08
