,year,state,state_po,margin,num_ballots,procedural_cost
0,2002,IDAHO,ID,0.3032378397430877,24,16.8
1,2004,IDAHO,ID,0.9917925434384004,8,5.6
2,2008,IDAHO,ID,0.2200486987809795,32,22.4
3,2010,IDAHO,ID,0.4624741396569751,16,11.2
4,2014,IDAHO,ID,0.3065672392890637,23,16.1
5,2016,IDAHO,ID,0.3840793704331585,19,13.3
6,2020,IDAHO,ID,0.2937590933990209,24,16.8
7,2022,IDAHO,ID,0.3194,22,15.4
