year,state,state_po,margin,num_ballots
2006,MICHIGAN,MI,0.1636692484038959,43
2006,MINNESOTA,MN,0.2011992162602394,35
2006,MISSISSIPPI,MS,0.2715195581752796,26
2006,MISSOURI,MO,0.045152854717896845,156
2006,MONTANA,MT,0.03428986113331942,205
2006,NEBRASKA,NE,0.277655845866058,26
2006,NEVADA,NV,0.13463743537279507,52
2006,NEW JERSEY,NJ,0.09675476762945154,73
2006,NEW MEXICO,NM,0.41274550174559127,17
2006,NEW YORK,NY,0.3206005064850854,22
2006,NORTH DAKOTA,ND,0.39297829036635007,18
2006,OHIO,OH,0.12348914072226663,57
2006,PENNSYLVANIA,PA,0.17353553981175884,41
2006,RHODE ISLAND,RI,0.07037270807521173,100
2006,TENNESSEE,TN,0.027231900615969418,258
2006,TEXAS,TX,0.2338340213360812,30
2006,UTAH,UT,0.3052085594448684,23
2006,VERMONT,VT,0.32361985984246566,22
2006,VIRGINIA,VA,0.0039355479667320115,1779
2006,WASHINGTON,WA,0.1832690736917476,39
2006,WEST VIRGINIA,WV,0.5409804320252516,13
2006,WISCONSIN,WI,0.37829871154474803,19
2006,WYOMING,WY,0.3949901893331294,18
2008,ALABAMA,AL,0.2684178311622563,27
2008,ALASKA,AK,0.02025663864435373,346
2008,ARKANSAS,AR,0.7953296947677004,9
2008,COLORADO,CO,0.10303518453470778,68
2008,DELAWARE,DE,0.29373025162382516,24
2008,GEORGIA,GA,0.004855182632309003,1442
2008,IDAHO,ID,0.22004869878097955,32
2008,ILLINOIS,IL,0.40253164984453693,18
2008,IOWA,IA,0.25394532502771283,28
2008,KANSAS,KS,0.2147494404017544,33
2008,KENTUCKY,KY,0.059312391403698594,119
2008,LOUISIANA,LA,0.07366493477185707,96
2008,MAINE,ME,0.22747539444804882,31
2008,MASSACHUSETTS,MA,0.3672719421075445,20
2008,MICHIGAN,MI,0.30393452157521106,24
2008,MINNESOTA,MN,0.0049296208745808635,1420
2008,MISSISSIPPI,MS,0.22870092524133417,31
2008,MONTANA,MT,0.4583195508083189,16
2008,NEBRASKA,NE,0.1746322763974254,41
2008,NEW HAMPSHIRE,NH,0.09434690056089132,75
2008,NEW JERSEY,NJ,0.14616253810182223,48
2008,NEW MEXICO,NM,0.22655982516845752,31
2008,NORTH CAROLINA,NC,0.11592567363534856,61
2008,OKLAHOMA,OK,0.1749596642162013,41
2008,OREGON,OR,0.03351222967529349,209
2008,RHODE ISLAND,RI,0.4659626445949518,16
2008,SOUTH CAROLINA,SC,0.15277774067010752,46
2008,SOUTH DAKOTA,SD,0.2498338468974684,29
2008,TENNESSEE,TN,0.33500207251962705,21
2008,TEXAS,TX,0.09641756429255288,73
2008,VIRGINIA,VA,0.31860343963457244,22
2008,WEST VIRGINIA,WV,0.27470995631546274,26
2008,WYOMING,WY,0.491362241857228,15
2010,ALABAMA,AL,0.30465318387962564,23
2010,ALASKA,AK,0.11481274192475235,61
2010,ARIZONA,AZ,0.1952063935044168,36
2010,ARKANSAS,AR,0.20957822033778783,34
2010,CALIFORNIA,CA,0.11762981792291323,60
2010,COLORADO,CO,0.029029174749447904,242
2010,CONNECTICUT,CT,0.09267332399630568,76
2010,DELAWARE,DE,0.1726078555116753,41
2010,FLORIDA,FL,0.28237425029189966,25
2010,GEORGIA,GA,0.16618204502245962,43
2010,HAWAII,HI,0.5403539827784869,13
2010,IDAHO,ID,0.46247413965697515,16
2010,ILLINOIS,IL,0.007565718524605278,926
2010,INDIANA,IN,0.09172412883831929,77
2010,IOWA,IA,0.2878323177096634,25
2010,KANSAS,KS,0.4157637890776084,17
2010,KENTUCKY,KY,0.1147809594600972,61
2010,LOUISIANA,LA,0.17777633727907008,40
2010,MARYLAND,MD,0.26439615281008677,27
2010,MISSOURI,MO,0.1058496351919519,67
2010,NEVADA,NV,0.05742136167806111,122
2010,NEW HAMPSHIRE,NH,0.22194365639638444,32
2010,NEW YORK,NY,0.3640805567036581,20
2010,NORTH CAROLINA,NC,0.09672081167514196,73
2010,NORTH DAKOTA,ND,0.5233803147559677,14
2010,OHIO,OH,0.17442409080972499,41
2010,OKLAHOMA,OK,0.445035201263136,16
2010,OREGON,OR,0.19086253316955357,37
2010,PENNSYLVANIA,PA,0.020169893814480366,348
2010,SOUTH CAROLINA,SC,0.3383189489791431,21
2010,SOUTH DAKOTA,SD,1.0,7
2010,UTAH,UT,0.28821318114245686,25
2010,VERMONT,VT,0.3341383972990671,21
2010,WASHINGTON,WA,0.04729651697626608,149
2010,WEST VIRGINIA,WV,0.10066081955210698,70
2010,WISCONSIN,WI,0.04837631848852153,145
2012,ARIZONA,AZ,0.0152418938567956,460
2012,CALIFORNIA,CA,0.25048568944289196,28
2012,CONNECTICUT,CT,0.14119862624060373,50
2012,DELAWARE,DE,0.3746565366886383,19
2012,FLORIDA,FL,0.13005995399725467,54
2012,HAWAII,HI,0.2481820115793109,29
2012,INDIANA,IN,0.11438684864899917,62
2012,MAINE,ME,0.1690294182580859,42
2012,MARYLAND,MD,0.3087416462038695,23
2012,MASSACHUSETTS,MA,0.07483772983823866,94
2012,MICHIGAN,MI,0.22629240403548914,31
2012,MINNESOTA,MN,0.34700990817763183,21
2012,MISSISSIPPI,MS,0.16604728858991208,43
