,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1354,Pennsylvania 1,0.822,0.178,11,2016,PENNSYLVANIA,5.77,PA
1355,Pennsylvania 2,0.902,0.098,9,2016,PENNSYLVANIA,4.72,PA
1356,Pennsylvania 3,1.0,0.0,7,2016,PENNSYLVANIA,3.67,PA
1357,Pennsylvania 4,0.661,0.339,22,2016,PENNSYLVANIA,11.55,PA
1358,Pennsylvania 5,0.672,0.328,21,2016,PENNSYLVANIA,11.02,PA
1359,Pennsylvania 6,0.573,0.427,48,2016,PENNSYLVANIA,25.20,PA
1360,Pennsylvania 7,0.595,0.405,37,2016,PENNSYLVANIA,19.42,PA
1361,Pennsylvania 8,0.544,0.456,80,2016,PENNSYLVANIA,42.00,PA
1362,Pennsylvania 9,0.634,0.366,27,2016,PENNSYLVANIA,14.17,PA
1363,Pennsylvania 10,0.702,0.298,18,2016,PENNSYLVANIA,9.45,PA
1364,Pennsylvania 11,0.637,0.363,26,2016,PENNSYLVANIA,13.65,PA
1365,Pennsylvania 12,0.618,0.382,30,2016,PENNSYLVANIA,15.75,PA
1366,Pennsylvania 13,1.0,0.0,7,2016,PENNSYLVANIA,3.67,PA
1367,Pennsylvania 14,0.744,0.256,15,2016,PENNSYLVANIA,7.87,PA
1368,Pennsylvania 15,0.584,0.38,35,2016,PENNSYLVANIA,18.37,PA
1369,Pennsylvania 16,0.538,0.429,65,2016,PENNSYLVANIA,34.12,PA
1370,Pennsylvania 17,0.538,0.462,93,2016,PENNSYLVANIA,48.82,PA
1371,Pennsylvania 18,1.0,0.0,7,2016,PENNSYLVANIA,3.67,PA
