,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1111,California 1,0.591,0.409,39,2016,CALIFORNIA,20.47,CA
1112,California 2,0.769,0.231,14,2016,CALIFORNIA,7.35,CA
1113,California 3,0.594,0.406,38,2016,CALIFORNIA,19.95,CA
1114,California 4,0.627,0.373,28,2016,CALIFORNIA,14.70,CA
1115,California 5,0.769,0.231,14,2016,CALIFORNIA,7.35,CA
1116,California 6,0.754,0.246,14,2016,CALIFORNIA,7.35,CA
1117,California 7,0.512,0.488,292,2016,CALIFORNIA,153.30,CA
1118,California 8,0.623,0.377,29,2016,CALIFORNIA,15.22,CA
1119,California 9,0.574,0.426,48,2016,CALIFORNIA,25.20,CA
1120,California 10,0.517,0.483,206,2016,CALIFORNIA,108.15,CA
1121,California 11,0.721,0.279,16,2016,CALIFORNIA,8.40,CA
1122,California 12,0.809,0.191,12,2016,CALIFORNIA,6.30,CA
1123,California 13,0.908,0.092,9,2016,CALIFORNIA,4.72,CA
1124,California 14,0.809,0.191,12,2016,CALIFORNIA,6.30,CA
1125,California 15,0.738,0.262,15,2016,CALIFORNIA,7.87,CA
1126,California 16,0.58,0.42,44,2016,CALIFORNIA,23.10,CA
1127,California 17,0.61,0.39,32,2016,CALIFORNIA,16.80,CA
1128,California 18,0.711,0.289,17,2016,CALIFORNIA,8.92,CA
1129,California 19,0.739,0.261,15,2016,CALIFORNIA,7.87,CA
1130,California 20,0.708,0.292,17,2016,CALIFORNIA,8.92,CA
1131,California 21,0.567,0.433,53,2016,CALIFORNIA,27.82,CA
1132,California 22,0.676,0.324,20,2016,CALIFORNIA,10.50,CA
1133,California 23,0.692,0.308,19,2016,CALIFORNIA,9.97,CA
1134,California 24,0.534,0.466,103,2016,CALIFORNIA,54.07,CA
1135,California 25,0.531,0.469,113,2016,CALIFORNIA,59.32,CA
1136,California 26,0.604,0.396,34,2016,CALIFORNIA,17.85,CA
1137,California 27,0.674,0.326,21,2016,CALIFORNIA,11.02,CA
1138,California 28,0.78,0.22,13,2016,CALIFORNIA,6.82,CA
1139,California 29,0.747,0.253,15,2016,CALIFORNIA,7.87,CA
1140,California 30,0.726,0.274,16,2016,CALIFORNIA,8.40,CA
1141,California 31,0.561,0.439,58,2016,CALIFORNIA,30.45,CA
1142,California 32,0.616,0.384,31,2016,CALIFORNIA,16.27,CA
1143,California 33,0.664,0.336,22,2016,CALIFORNIA,11.55,CA
1144,California 34,0.772,0.228,13,2016,CALIFORNIA,6.82,CA
1145,California 35,0.724,0.276,16,2016,CALIFORNIA,8.40,CA
1146,California 36,0.621,0.379,29,2016,CALIFORNIA,15.22,CA
1147,California 37,0.811,0.189,12,2016,CALIFORNIA,6.30,CA
1148,California 38,0.705,0.295,18,2016,CALIFORNIA,9.45,CA
1149,California 39,0.572,0.428,49,2016,CALIFORNIA,25.72,CA
1150,California 40,0.714,0.286,17,2016,CALIFORNIA,8.92,CA
1151,California 41,0.65,0.35,24,2016,CALIFORNIA,12.60,CA
1152,California 42,0.588,0.412,40,2016,CALIFORNIA,21.00,CA
1153,California 43,0.761,0.239,14,2016,CALIFORNIA,7.35,CA
1154,California 44,0.522,0.478,160,2016,CALIFORNIA,84.00,CA
1155,California 45,0.586,0.414,41,2016,CALIFORNIA,21.52,CA
1156,California 46,0.7,0.3,18,2016,CALIFORNIA,9.45,CA
1157,California 47,0.637,0.363,26,2016,CALIFORNIA,13.65,CA
1158,California 48,0.583,0.417,43,2016,CALIFORNIA,22.57,CA
1159,California 49,0.503,0.497,1167,2016,CALIFORNIA,612.67,CA
1160,California 50,0.635,0.365,26,2016,CALIFORNIA,13.65,CA
1161,California 51,0.728,0.272,16,2016,CALIFORNIA,8.40,CA
1162,California 52,0.565,0.435,54,2016,CALIFORNIA,28.35,CA
1163,California 53,0.67,0.33,21,2016,CALIFORNIA,11.02,CA
