year,state,state_po,totalvotes
2006,NORTH CAROLINA,NC,1940808
2006,NORTH DAKOTA,ND,217621
2006,OHIO,OH,3961195
2006,OKLAHOMA,OK,905194
2006,OREGON,OR,1357434
2006,PENNSYLVANIA,PA,4013388
2006,RHODE ISLAND,RI,373148
2006,SOUTH CAROLINA,SC,1086206
2006,SOUTH DAKOTA,SD,333562
2006,TENNESSEE,TN,1715426
2006,TEXAS,TX,4374096
2006,UTAH,UT,569690
2006,VERMONT,VT,262726
2006,VIRGINIA,VA,2297236
2006,WASHINGTON,WA,2054056
2006,WEST VIRGINIA,WV,454813
2006,WISCONSIN,WI,2063413
2006,WYOMING,WY,196215
2008,ALABAMA,AL,1855268
2008,ALASKA,AK,316978
2008,ARIZONA,AZ,2155694
2008,ARKANSAS,AR,787194
2008,CALIFORNIA,CA,12322079
2008,COLORADO,CO,2283846
2008,CONNECTICUT,CT,1527399
2008,DELAWARE,DE,385457
2008,FLORIDA,FL,7421174
2008,GEORGIA,GA,3654948
2008,HAWAII,HI,456064
2008,IDAHO,ID,637852
2008,ILLINOIS,IL,5248195
2008,INDIANA,IN,2676850
2008,IOWA,IA,1481807
2008,KANSAS,KS,1208302
2008,KENTUCKY,KY,1749840
2008,LOUISIANA,LA,1046178
2008,MAINE,ME,710101
2008,MARYLAND,MD,2497952
2008,MASSACHUSETTS,MA,3102995
2008,MICHIGAN,MI,4810690
2008,MINNESOTA,MN,2802614
2008,MISSISSIPPI,MS,1264747
2008,MISSOURI,MO,2821484
2008,MONTANA,MT,480900
2008,NEBRASKA,NE,775398
2008,NEVADA,NV,908254
2008,NEW HAMPSHIRE,NH,674548
2008,NEW JERSEY,NJ,3437980
2008,NEW MEXICO,NM,814566
2008,NEW YORK,NY,7721503
2008,NORTH CAROLINA,NC,4215093
2008,NORTH DAKOTA,ND,313965
2008,OHIO,OH,5374340
2008,OKLAHOMA,OK,1336927
2008,OREGON,OR,1682509
2008,PENNSYLVANIA,PA,5787854
2008,RHODE ISLAND,RI,438232
2008,SOUTH CAROLINA,SC,1873890
2008,SOUTH DAKOTA,SD,379007
2008,TENNESSEE,TN,2301885
2008,TEXAS,TX,7528622
2008,UTAH,UT,936839
2008,VERMONT,VT,298151
2008,VIRGINIA,VA,3495355
2008,WASHINGTON,WA,2914463
2008,WEST VIRGINIA,WV,645560
2008,WISCONSIN,WI,2775174
2008,WYOMING,WY,249575
2010,ALABAMA,AL,1367747
2010,ALASKA,AK,254335
2010,ARIZONA,AZ,1698145
2010,ARKANSAS,AR,774125
2010,CALIFORNIA,CA,9648096
2010,COLORADO,CO,1763152
2010,CONNECTICUT,CT,1138202
2010,DELAWARE,DE,305636
2010,FLORIDA,FL,5117811
2010,GEORGIA,GA,2468680
2010,HAWAII,HI,360121
2010,IDAHO,ID,447144
2010,ILLINOIS,IL,3696159
2010,INDIANA,IN,1747720
2010,IOWA,IA,1106591
2010,KANSAS,KS,835529
2010,KENTUCKY,KY,1354298
2010,LOUISIANA,LA,1035948
2010,MAINE,ME,564368
2010,MARYLAND,MD,1825472
2010,MASSACHUSETTS,MA,2224255
