,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
968,Ohio 1,0.513,0.469,160,2018,OHIO,84.00,OH
969,Ohio 2,0.576,0.412,43,2018,OHIO,22.57,OH
970,Ohio 3,0.736,0.264,15,2018,OHIO,7.87,OH
971,Ohio 4,0.653,0.347,23,2018,OHIO,12.07,OH
972,Ohio 5,0.623,0.351,26,2018,OHIO,13.65,OH
973,Ohio 6,0.693,0.307,19,2018,OHIO,9.97,OH
974,Ohio 7,0.587,0.413,41,2018,OHIO,21.52,OH
975,Ohio 8,0.666,0.334,22,2018,OHIO,11.55,OH
976,Ohio 9,0.678,0.322,20,2018,OHIO,10.50,OH
977,Ohio 10,0.559,0.422,52,2018,OHIO,27.30,OH
978,Ohio 11,0.822,0.178,11,2018,OHIO,5.77,OH
979,Ohio 12,0.514,0.472,167,2018,OHIO,87.67,OH
980,Ohio 13,0.61,0.39,32,2018,OHIO,16.80,OH
981,Ohio 14,0.552,0.448,68,2018,OHIO,35.70,OH
982,Ohio 15,0.583,0.397,38,2018,OHIO,19.95,OH
983,Ohio 16,0.567,0.433,53,2018,OHIO,27.82,OH
