,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
961,Nebraska 1,0.604,0.396,34,2018,NEBRASKA,17.85,NE
962,Nebraska 2,0.51,0.49,350,2018,NEBRASKA,183.75,NE
963,Nebraska 3,0.767,0.233,14,2018,NEBRASKA,7.35,NE
