,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
948,Mississippi 1,0.669,0.324,21,2018,MISSISSIPPI,11.02,MS
949,Mississippi 2,0.718,0.217,14,2018,MISSISSIPPI,7.35,MS
950,Mississippi 3,0.623,0.367,28,2018,MISSISSIPPI,14.70,MS
951,Mississippi 4,0.682,0.307,19,2018,MISSISSIPPI,9.97,MS
