,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
809,Connecticut 1,0.639,0.35,25,2018,CONNECTICUT,13.12,CT
810,Connecticut 2,0.622,0.354,27,2018,CONNECTICUT,14.17,CT
811,Connecticut 3,0.646,0.354,24,2018,CONNECTICUT,12.60,CT
812,Connecticut 4,0.612,0.388,32,2018,CONNECTICUT,16.80,CT
813,Connecticut 5,0.559,0.441,60,2018,CONNECTICUT,31.50,CT
