,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
878,Indiana 1,0.651,0.349,24,2018,INDIANA,12.60,IN
879,Indiana 2,0.548,0.452,73,2018,INDIANA,38.32,IN
880,Indiana 3,0.647,0.353,24,2018,INDIANA,12.60,IN
881,Indiana 4,0.641,0.359,25,2018,INDIANA,13.12,IN
882,Indiana 5,0.568,0.432,52,2018,INDIANA,27.30,IN
883,Indiana 6,0.638,0.329,23,2018,INDIANA,12.07,IN
884,Indiana 7,0.649,0.351,24,2018,INDIANA,12.60,IN
885,Indiana 8,0.644,0.356,25,2018,INDIANA,13.12,IN
886,Indiana 9,0.565,0.435,54,2018,INDIANA,28.35,IN
