,year,state,state_po,num_ballots,procedural_cost
0,2000,ALASKA,AK,13,6.82
1,2002,ALASKA,AK,13,6.82
2,2004,ALASKA,AK,15,7.87
3,2006,ALASKA,AK,43,22.57
4,2008,ALASKA,AK,135,70.87
5,2010,ALASKA,AK,19,9.97
6,2012,ALASKA,AK,20,10.50
7,2014,ALASKA,AK,70,36.75
8,2016,ALASKA,AK,49,25.72
9,2018,ALASKA,AK,107,56.17
10,2020,ALASKA,AK,77,40.42
11,2022,ALASKA,AK,31,16.27
