,year,state,state_po,num_ballots,procedural_cost
0,2000,TENNESSEE,TN,131,68.77
1,2002,TENNESSEE,TN,249,130.72
2,2004,TENNESSEE,TN,179,93.97
3,2006,TENNESSEE,TN,179,93.97
4,2008,TENNESSEE,TN,143,75.07
5,2010,TENNESSEE,TN,219,114.97
6,2012,TENNESSEE,TN,197,103.42
7,2014,TENNESSEE,TN,171,89.77
8,2016,TENNESSEE,TN,156,81.90
9,2018,TENNESSEE,TN,172,90.30
10,2020,TENNESSEE,TN,145,76.12
11,2022,TENNESSEE,TN,204,107.10
