,year,state,state_po,num_ballots,procedural_cost
0,2000,MINNESOTA,MN,7597,3988.42
1,2002,MINNESOTA,MN,224,117.60
2,2004,MINNESOTA,MN,274,143.85
3,2006,MINNESOTA,MN,362,190.05
4,2008,MINNESOTA,MN,469,246.22
5,2010,MINNESOTA,MN,774,406.35
6,2012,MINNESOTA,MN,904,474.60
7,2014,MINNESOTA,MN,814,427.35
8,2016,MINNESOTA,MN,2814,1477.35
9,2018,MINNESOTA,MN,2297,1205.92
10,2020,MINNESOTA,MN,745,391.12
11,2022,MINNESOTA,MN,361,189.52
