,year,state,state_po,num_ballots,procedural_cost
0,2000,NEW YORK,NY,632,331.80
1,2002,NEW YORK,NY,888,466.20
2,2004,NEW YORK,NY,1104,579.60
3,2006,NEW YORK,NY,1687,885.67
4,2008,NEW YORK,NY,1072,562.80
5,2010,NEW YORK,NY,5322,2794.05
6,2012,NEW YORK,NY,2118,1111.95
7,2014,NEW YORK,NY,2476,1299.90
8,2016,NEW YORK,NY,869,456.22
9,2018,NEW YORK,NY,3826,2008.65
10,2020,NEW YORK,NY,18441,9681.52
11,2022,NEW YORK,NY,3652,1917.30
