,year,state,state_po,num_ballots,procedural_cost
0,2000,WEST VIRGINIA,WV,289,151.72
1,2002,WEST VIRGINIA,WV,53,27.82
2,2004,WEST VIRGINIA,WV,88,46.20
3,2006,WEST VIRGINIA,WV,93,48.82
4,2008,WEST VIRGINIA,WV,79,41.47
5,2010,WEST VIRGINIA,WV,953,500.32
6,2012,WEST VIRGINIA,WV,136,71.40
7,2014,WEST VIRGINIA,WV,311,163.27
8,2016,WEST VIRGINIA,WV,78,40.95
9,2018,WEST VIRGINIA,WV,143,75.07
10,2020,WEST VIRGINIA,WV,63,33.07
11,2022,WEST VIRGINIA,WV,42,22.05
