,year,state,state_po,num_ballots,procedural_cost
0,2000,IOWA,IA,160,84.00
1,2002,IOWA,IA,330,173.25
2,2004,IOWA,IA,223,117.07
3,2006,IOWA,IA,527,276.67
4,2008,IOWA,IA,178,93.45
5,2010,IOWA,IA,697,365.92
6,2012,IOWA,IA,265,139.12
7,2014,IOWA,IA,546,286.65
8,2016,IOWA,IA,271,142.27
9,2018,IOWA,IA,736,386.40
10,2020,IOWA,IA,350848,184195.20
11,2022,IOWA,IA,1208,634.20
