,year,state,state_po,num_ballots,procedural_cost
0,2000,ARIZONA,AZ,181,95.02
1,2002,ARIZONA,AZ,369,193.72
2,2004,ARIZONA,AZ,193,101.32
3,2006,ARIZONA,AZ,446,234.15
4,2008,ARIZONA,AZ,328,172.20
5,2010,ARIZONA,AZ,903,474.07
6,2012,ARIZONA,AZ,1351,709.27
7,2014,ARIZONA,AZ,9088,4771.20
8,2016,ARIZONA,AZ,292,153.30
9,2018,ARIZONA,AZ,425,223.12
10,2020,ARIZONA,AZ,612,321.30
11,2022,ARIZONA,AZ,1612,846.30
