,year,state,state_po,num_ballots,procedural_cost
0,2000,OREGON,OR,137,71.92
1,2002,OREGON,OR,156,81.90
2,2004,OREGON,OR,180,94.50
3,2006,OREGON,OR,151,79.27
4,2008,OREGON,OR,99,51.97
5,2010,OREGON,OR,284,149.10
6,2012,OREGON,OR,157,82.42
7,2014,OREGON,OR,144,75.60
8,2016,OREGON,OR,174,91.35
9,2018,OREGON,OR,180,94.50
10,2020,OREGON,OR,306,160.65
11,2022,OREGON,OR,765,401.62
