,year,state,state_po,num_ballots,procedural_cost
0,2000,NEW JERSEY,NJ,570,299.25
1,2002,NEW JERSEY,NJ,273,143.32
2,2004,NEW JERSEY,NJ,307,161.17
3,2006,NEW JERSEY,NJ,751,394.27
4,2008,NEW JERSEY,NJ,513,269.32
5,2010,NEW JERSEY,NJ,648,340.20
6,2012,NEW JERSEY,NJ,368,193.20
7,2014,NEW JERSEY,NJ,386,202.65
8,2016,NEW JERSEY,NJ,470,246.75
9,2018,NEW JERSEY,NJ,1035,543.37
10,2020,NEW JERSEY,NJ,1160,609.00
11,2022,NEW JERSEY,NJ,658,345.45
