,year,state,state_po,num_ballots,procedural_cost
0,2000,MISSOURI,MO,385,202.12
1,2002,MISSOURI,MO,186,97.65
2,2004,MISSOURI,MO,282,148.05
3,2006,MISSOURI,MO,198,103.95
4,2008,MISSOURI,MO,451,236.77
5,2010,MISSOURI,MO,635,333.37
6,2012,MISSOURI,MO,184,96.60
7,2014,MISSOURI,MO,236,123.90
8,2016,MISSOURI,MO,167,87.67
9,2018,MISSOURI,MO,314,164.85
10,2020,MISSOURI,MO,244,128.10
11,2022,MISSOURI,MO,190,99.75
