,year,state,state_po,num_ballots,procedural_cost
0,2000,MICHIGAN,MI,339,177.97
1,2002,MICHIGAN,MI,313,164.32
2,2004,MICHIGAN,MI,342,179.55
3,2006,MICHIGAN,MI,627,329.17
4,2008,MICHIGAN,MI,766,402.15
5,2010,MICHIGAN,MI,826,433.65
6,2012,MICHIGAN,MI,1513,794.32
7,2014,MICHIGAN,MI,524,275.10
8,2016,MICHIGAN,MI,434,227.85
9,2018,MICHIGAN,MI,874,458.85
10,2020,MICHIGAN,MI,934,490.35
11,2022,MICHIGAN,MI,1901,998.02
