,year,state,state_po,num_ballots,procedural_cost
0,2000,INDIANA,IN,537,281.92
1,2002,INDIANA,IN,602,316.05
2,2004,INDIANA,IN,2061,1082.02
3,2006,INDIANA,IN,554,290.85
4,2008,INDIANA,IN,249,130.72
5,2010,INDIANA,IN,757,397.42
6,2012,INDIANA,IN,784,411.60
7,2014,INDIANA,IN,251,131.77
8,2016,INDIANA,IN,226,118.65
9,2018,INDIANA,IN,324,170.10
10,2020,INDIANA,IN,385,202.12
11,2022,INDIANA,IN,304,159.60
