,year,state,state_po,num_ballots,procedural_cost
0,2000,IDAHO,ID,37,19.42
1,2002,IDAHO,ID,54,28.35
2,2004,IDAHO,ID,35,18.38
3,2006,IDAHO,ID,164,86.10
4,2008,IDAHO,ID,601,315.52
5,2010,IDAHO,ID,89,46.72
6,2012,IDAHO,ID,46,24.15
7,2014,IDAHO,ID,55,28.87
8,2016,IDAHO,ID,41,21.52
9,2018,IDAHO,ID,55,28.87
10,2020,IDAHO,ID,40,21.00
11,2022,IDAHO,ID,42,22.05
