,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2080,Pennsylvania 1,0.851,0.15,10,2012,PENNSYLVANIA,5.25,PA
2081,Pennsylvania 2,0.894,0.094,9,2012,PENNSYLVANIA,4.72,PA
2082,Pennsylvania 3,0.547,0.411,52,2012,PENNSYLVANIA,27.30,PA
2083,Pennsylvania 4,0.597,0.344,28,2012,PENNSYLVANIA,14.70,PA
2084,Pennsylvania 5,0.629,0.371,28,2012,PENNSYLVANIA,14.70,PA
2085,Pennsylvania 6,0.571,0.429,50,2012,PENNSYLVANIA,26.25,PA
2086,Pennsylvania 7,0.595,0.405,37,2012,PENNSYLVANIA,19.42,PA
2087,Pennsylvania 8,0.567,0.434,53,2012,PENNSYLVANIA,27.82,PA
2088,Pennsylvania 9,0.616,0.384,31,2012,PENNSYLVANIA,16.27,PA
2089,Pennsylvania 10,0.659,0.341,23,2012,PENNSYLVANIA,12.07,PA
2090,Pennsylvania 11,0.585,0.415,42,2012,PENNSYLVANIA,22.05,PA
2091,Pennsylvania 12,0.515,0.485,234,2012,PENNSYLVANIA,122.85,PA
2092,Pennsylvania 13,0.69,0.31,19,2012,PENNSYLVANIA,9.97,PA
2093,Pennsylvania 14,0.77,0.231,13,2012,PENNSYLVANIA,6.82,PA
2094,Pennsylvania 15,0.566,0.434,54,2012,PENNSYLVANIA,28.35,PA
2095,Pennsylvania 16,0.55,0.389,44,2012,PENNSYLVANIA,23.10,PA
2096,Pennsylvania 17,0.605,0.395,34,2012,PENNSYLVANIA,17.85,PA
2097,Pennsylvania 18,0.638,0.362,26,2012,PENNSYLVANIA,13.65,PA
