,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2038,Missouri 1,0.787,0.179,12,2012,MISSOURI,6.30,MO
2039,Missouri 2,0.601,0.371,31,2012,MISSOURI,16.27,MO
2040,Missouri 3,0.635,0.329,23,2012,MISSOURI,12.07,MO
2041,Missouri 4,0.603,0.355,29,2012,MISSOURI,15.22,MO
2042,Missouri 5,0.605,0.369,30,2012,MISSOURI,15.75,MO
2043,Missouri 6,0.65,0.325,22,2012,MISSOURI,11.55,MO
2044,Missouri 7,0.639,0.309,22,2012,MISSOURI,11.55,MO
2045,Missouri 8,0.719,0.246,15,2012,MISSOURI,7.87,MO
