,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1901,Florida 1,0.696,0.271,17,2012,FLORIDA,8.92,FL
1902,Florida 2,0.527,0.473,130,2012,FLORIDA,68.25,FL
1903,Florida 3,0.647,0.325,22,2012,FLORIDA,11.55,FL
1904,Florida 4,0.761,0.239,14,2012,FLORIDA,7.35,FL
1905,Florida 5,0.708,0.263,16,2012,FLORIDA,8.40,FL
1906,Florida 6,0.572,0.428,49,2012,FLORIDA,25.72,FL
1907,Florida 7,0.587,0.413,41,2012,FLORIDA,21.52,FL
1908,Florida 8,0.589,0.375,33,2012,FLORIDA,17.32,FL
1909,Florida 9,0.625,0.375,28,2012,FLORIDA,14.70,FL
1910,Florida 10,0.518,0.482,195,2012,FLORIDA,102.37,FL
1911,Florida 11,0.645,0.355,25,2012,FLORIDA,13.12,FL
1912,Florida 12,0.635,0.329,23,2012,FLORIDA,12.07,FL
1913,Florida 13,0.576,0.424,47,2012,FLORIDA,24.67,FL
1914,Florida 14,0.702,0.298,18,2012,FLORIDA,9.45,FL
1915,Florida 15,Uncontested,0.0,0,2012,FLORIDA,0.00,FL
1916,Florida 16,0.536,0.464,98,2012,FLORIDA,51.45,FL
1917,Florida 17,0.587,0.413,41,2012,FLORIDA,21.52,FL
1918,Florida 18,0.502,0.498,1750,2012,FLORIDA,918.75,FL
1919,Florida 19,0.62,0.358,27,2012,FLORIDA,14.17,FL
1920,Florida 20,0.88,0.12,10,2012,FLORIDA,5.25,FL
1921,Florida 21,0.777,0.133,11,2012,FLORIDA,5.77,FL
1922,Florida 22,0.546,0.454,77,2012,FLORIDA,40.42,FL
1923,Florida 23,0.633,0.356,26,2012,FLORIDA,13.65,FL
1924,Florida 24,Uncontested,0.0,0,2012,FLORIDA,0.00,FL
1925,Florida 25,0.757,0.158,12,2012,FLORIDA,6.30,FL
1926,Florida 26,0.536,0.43,67,2012,FLORIDA,35.17,FL
1927,Florida 27,0.602,0.369,31,2012,FLORIDA,16.27,FL
