,year,state,state_abbr,margin,num_ballots,procedural_cost
0,2000,MINNESOTA,MN,0.02403221408258959,292,153.30
1,2004,MINNESOTA,MN,0.0347615089448509,202,106.05
2,2008,MINNESOTA,MN,0.10237361654140764,69,36.22
3,2012,MINNESOTA,MN,0.07694102046577612,91,47.78
4,2016,MINNESOTA,MN,0.015198408574896207,461,242.02
5,2020,MINNESOTA,MN,0.07110156900570645,99,51.97
6,2024,MINNESOTA,MN,0.04200000000000003,167,87.68
