,year,state,state_abbr,margin,num_ballots
0,2000,NEW YORK,NY,0.2418945391773099,29
1,2004,NEW YORK,NY,0.18444051273141965,38
2,2008,NEW YORK,NY,0.2883972442958247,25
3,2012,NEW YORK,NY,0.2951938684664309,24
4,2016,NEW YORK,NY,0.23745540294106035,30
5,2020,NEW YORK,NY,0.22930590695743983,31
6,2024,NEW YORK,NY,0.11799999999999997,60
