,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,ARKANSAS,AR,0.05442941436197969,129,67.72
1,2004,ARKANSAS,AR,0.09758328633246283,72,37.80
2,2008,ARKANSAS,AR,0.19851244734805365,36,18.90
3,2012,ARKANSAS,AR,0.23687945782389,30,15.75
4,2016,ARKANSAS,AR,0.2692097803446736,27,14.18
5,2020,ARKANSAS,AR,0.27620667903129353,26,13.65
6,2024,ARKANSAS,AR,0.306,23,12.08
