year,state,state_po,num_ballots,procedural_cost,margin
2004,FLORIDA,FL,394,206.85,0.017766497461928935
2004,GEORGIA,GA,347,182.18,0.020172910662824207
2004,HAWAII,HI,53,27.82,0.1320754716981132
2004,IDAHO,ID,35,18.369999999999997,0.2
2004,ILLINOIS,IL,599,314.48,0.011686143572621035
2004,INDIANA,IN,2061,1082.01,0.003396409509946628
2004,IOWA,IA,223,117.08,0.03139013452914798
2004,KANSAS,KS,137,71.91,0.051094890510948905
2004,KENTUCKY,KY,178,93.44,0.03932584269662921
2004,LOUISIANA,LA,1529,802.71,0.004578155657292348
2004,MAINE,ME,75,39.370000000000005,0.09333333333333334
2004,MARYLAND,MD,138,72.46,0.050724637681159424
2004,MASSACHUSETTS,MA,139,72.97,0.050359712230215826
2004,MICHIGAN,MI,342,179.54,0.02046783625730994
2004,MINNESOTA,MN,274,143.85,0.025547445255474453
2004,MISSISSIPPI,MS,88,46.2,0.07954545454545454
2004,MISSOURI,MO,282,148.04,0.024822695035460994
2004,MONTANA,MT,23,12.08,0.30434782608695654
2004,NEBRASKA,NE,101,53.019999999999996,0.06930693069306931
2004,NEVADA,NV,90,47.25,0.07777777777777778
2004,NEW HAMPSHIRE,NH,62,32.56,0.11290322580645161
2004,NEW JERSEY,NJ,307,161.17,0.02280130293159609
2004,NEW MEXICO,NM,134,70.36,0.05223880597014925
2004,NEW YORK,NY,1104,579.55,0.006340579710144928
2004,NORTH CAROLINA,NC,408,214.17,0.01715686274509804
2004,NORTH DAKOTA,ND,37,19.42,0.1891891891891892
2004,OHIO,OH,406,213.13,0.017241379310344827
2004,OKLAHOMA,OK,100,52.5,0.07
2004,OREGON,OR,180,94.50999999999999,0.03888888888888889
2004,PENNSYLVANIA,PA,754,395.85,0.009283819628647215
2004,RHODE ISLAND,RI,39,20.47,0.1794871794871795
2004,SOUTH CAROLINA,SC,98,51.46,0.07142857142857142
2004,SOUTH DAKOTA,SD,94,49.35,0.07446808510638298
2004,TENNESSEE,TN,179,94.0,0.03910614525139665
2004,TEXAS,TX,910,477.74,0.007692307692307693
2004,UTAH,UT,103,54.080000000000005,0.06796116504854369
2004,VERMONT,VT,17,8.92,0.4117647058823529
2004,VIRGINIA,VA,288,151.2,0.024305555555555556
2004,WASHINGTON,WA,348,182.7,0.020114942528735632
2004,WEST VIRGINIA,WV,88,46.2,0.07954545454545454
2004,WISCONSIN,WI,189,99.23,0.037037037037037035
2004,WYOMING,WY,53,27.82,0.1320754716981132
2006,ALABAMA,AL,94,49.35,0.07446808510638298
2006,ALASKA,AK,43,22.58,0.16279069767441862
2006,ARIZONA,AZ,446,234.16,0.01569506726457399
2006,ARKANSAS,AR,97,50.93,0.07216494845360824
2006,CALIFORNIA,CA,1281,672.53,0.00546448087431694
2006,COLORADO,CO,468,245.7,0.014957264957264958
2006,CONNECTICUT,CT,17797,9343.42,0.000393324717649042
2006,DELAWARE,DE,39,20.47,0.1794871794871795
2006,FLORIDA,FL,4655,2443.86,0.0015037593984962407
2006,GEORGIA,GA,2051,1076.77,0.0034129692832764505
2006,IDAHO,ID,164,86.10000000000001,0.042682926829268296
2006,ILLINOIS,IL,835,438.37,0.008383233532934131
2006,INDIANA,IN,554,290.83000000000004,0.01263537906137184
2006,IOWA,IA,527,276.67,0.013282732447817837
2006,KANSAS,KS,259,135.98,0.02702702702702703
2006,KENTUCKY,KY,503,264.06,0.013916500994035786
2006,LOUISIANA,LA,259,135.97,0.02702702702702703
2006,MAINE,ME,42,22.049999999999997,0.16666666666666666
2006,MARYLAND,MD,140,73.51,0.05
2006,MASSACHUSETTS,MA,75,39.36,0.09333333333333334
2006,MICHIGAN,MI,627,329.14,0.011164274322169059
2006,MINNESOTA,MN,362,190.04000000000002,0.019337016574585635
2006,MISSISSIPPI,MS,70,36.75,0.1
2006,MISSOURI,MO,198,103.95,0.03535353535353535
2006,MONTANA,MT,36,18.9,0.19444444444444445
2006,NEBRASKA,NE,187,98.18,0.0374331550802139
2006,NEVADA,NV,518,271.95,0.013513513513513514
2006,NEW HAMPSHIRE,NH,369,193.72,0.018970189701897018
2006,NEW JERSEY,NJ,751,394.29,0.009320905459387484
2006,NEW MEXICO,NM,1803,946.58,0.003882418191902385
2006,NEW YORK,NY,1687,885.65,0.004149377593360996
2006,NORTH CAROLINA,NC,3846,2019.1399999999999,0.0018200728029121164
2006,NORTH DAKOTA,ND,23,12.08,0.30434782608695654
2006,OHIO,OH,2658,1395.45,0.0026335590669676447
2006,OKLAHOMA,OK,113,59.32,0.061946902654867256
2006,OREGON,OR,151,79.25999999999999,0.046357615894039736
