,year,state,state_po,margin,num_ballots,procedural_cost
90,2004,NORTH CAROLINA,NC,0.0320211331414407,219,114.98
91,2004,NORTH DAKOTA,ND,0.3655985271776913,20,10.5
92,2004,OHIO,OH,0.2770427638350901,26,13.65
93,2004,OKLAHOMA,OK,0.1152043824982064,61,32.02
94,2004,OREGON,OR,0.3330746117772598,22,11.55
95,2004,PENNSYLVANIA,PA,0.0920455720839954,77,40.42
96,2004,SOUTH CAROLINA,SC,0.0889701550380316,79,41.47
97,2004,SOUTH DAKOTA,SD,0.0115238708753847,608,319.2
98,2004,UTAH,UT,0.4032845394339966,18,9.45
99,2004,VERMONT,VT,0.4608408635191792,16,8.4
100,2004,WASHINGTON,WA,0.1345249908555546,53,27.82
101,2004,WISCONSIN,WI,0.1152239364581931,61,32.02
102,2006,ARIZONA,AZ,0.0668242093501233,105,55.12
103,2006,CALIFORNIA,CA,0.2598283949987098,27,14.18
104,2006,CONNECTICUT,CT,0.3010688443632537,24,12.6
105,2006,DELAWARE,DE,0.4259914722684095,17,8.92
106,2006,FLORIDA,FL,0.2220534995683768,32,16.8
107,2006,HAWAII,HI,0.2644016777407669,27,14.18
108,2006,INDIANA,IN,0.7476882972401241,10,5.25
109,2006,MAINE,ME,0.5365070222039594,14,7.35
110,2006,MARYLAND,MD,0.1001016765114906,70,36.75
111,2006,MASSACHUSETTS,MA,0.3740052187438024,19,9.98
112,2006,MICHIGAN,MI,0.1636692484038959,43,22.58
113,2006,MINNESOTA,MN,0.2011992162602394,35,18.38
114,2006,MISSISSIPPI,MS,0.2715195581752796,26,13.65
115,2006,MISSOURI,MO,0.0451528547178968,156,81.9
116,2006,MONTANA,MT,0.0342898611333194,205,107.62
117,2006,NEBRASKA,NE,0.277655845866058,26,13.65
118,2006,NEVADA,NV,0.134637435372795,52,27.3
119,2006,NEW JERSEY,NJ,0.0967547676294515,73,38.32
120,2006,NEW MEXICO,NM,0.4127455017455912,17,8.92
121,2006,NEW YORK,NY,0.3206005064850854,22,11.55
122,2006,NORTH DAKOTA,ND,0.39297829036635,18,9.45
