,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3086,Massachusetts 1,0.765,0.235,14,2006,MASSACHUSETTS,7.35,MA
3087,Massachusetts 2,Uncontested,0.0,0,2006,MASSACHUSETTS,0.00,MA
3088,Massachusetts 3,Uncontested,0.0,0,2006,MASSACHUSETTS,0.00,MA
3089,Massachusetts 4,Uncontested,0.0,0,2006,MASSACHUSETTS,0.00,MA
3090,Massachusetts 5,Uncontested,0.0,0,2006,MASSACHUSETTS,0.00,MA
3091,Massachusetts 6,0.697,0.293,18,2006,MASSACHUSETTS,9.45,MA
3092,Massachusetts 7,Uncontested,0.0,0,2006,MASSACHUSETTS,0.00,MA
3093,Massachusetts 8,0.91,0.09,9,2006,MASSACHUSETTS,4.72,MA
3094,Massachusetts 9,0.782,0.218,13,2006,MASSACHUSETTS,6.82,MA
3095,Massachusetts 10,0.643,0.294,21,2006,MASSACHUSETTS,11.02,MA
